Item,Left_Positive_Rate,Right_Positive_Rate,Left_Positive_Count,Right_Positive_Count,Left_Negative_Count,Right_Negative_Count
1,0.44680851063829785,0.4574468085106383,42,43,52,51
2,0.5425531914893617,0.5319148936170213,51,50,43,44
3,0.20212765957446807,0.26595744680851063,19,25,75,69
4,0.5957446808510638,0.574468085106383,56,54,38,40
5,0.3617021276595745,0.3723404255319149,34,35,60,59
6,0.07446808510638298,0.11702127659574468,7,11,87,83
7,0.24468085106382978,0.2765957446808511,23,26,71,68
8,0.7340425531914894,0.6914893617021277,69,65,25,29
9,0.26595744680851063,0.19148936170212766,25,18,69,76
10,0.40425531914893614,0.5212765957446809,38,49,56,45
11,0.23404255319148937,0.18085106382978725,22,17,72,77
12,0.2553191489361702,0.19148936170212766,24,18,70,76
13,0.10638297872340426,0.1702127659574468,10,16,84,78
14,0.22340425531914893,0.3404255319148936,21,32,73,62
15,0.6702127659574468,0.5851063829787234,63,55,31,39
16,0.3617021276595745,0.3191489361702128,34,30,60,64
17,0.11702127659574468,0.20212765957446807,11,19,83,75
